feature,coef,kind
진료/NNG,1.9477,치료맥락
약/NNG,1.7404,치료맥락
저/NP,1.4672,기타
받/VV-R,1.3012,기타
상담/NNG,1.2765,치료맥락
으면서/EC,1.2104,기타
상담/NNG 받/VV-R,1.2067,치료맥락
어요/EF 그니까/MAJ,1.1911,머뭇거림
받/VV-R 으면서/EC,1.1879,기타
님/XSN,1.1385,기타
꾸준히/MAG,1.1364,치료맥락
먹/VV,1.136,기타
나/VX 어서/EC,1.0657,머뭇거림
말씀/NNG,1.0606,기타
선생/NNG 님/XSN,1.0596,치료맥락
선생/NNG,1.0596,치료맥락
요/JX 다/MAG,1.0574,기타
어요/EF 진료/NNG,1.0472,머뭇거림
꾸준히/MAG 먹/VV,1.0317,치료맥락
로/JKB 는/JX,1.0287,기타
어요/EF 병원/NNG,1.0253,머뭇거림
되게/MAG,0.9896,기타
사실/MAG,0.9855,기타
어서/EC,0.9651,머뭇거림
진료/NNG 받/XSV,0.956,치료맥락
이요/JX 창문/NNG,-1.5913,기타
어요/EF 아무튼/MAG,-1.4053,머뭇거림
그때/NNG 는/JX,-1.3936,기타
는/JX 힘들/VA,-1.3369,증상
힘들/VA 었/EP,-1.2379,증상
네/IC,-1.1761,기타
었/EP 어요/EF,-1.1589,머뭇거림
들/XSN 신나/VV,-1.0807,긍정회상
들/XSN,-1.0529,기타
아무튼/MAG,-1.0329,기타
그래도/MAJ,-1.0239,기타
정말/MAG,-1.0144,기타
는데/EC,-0.9991,기타
었/EP 는데/EC,-0.997,기타
었/EP,-0.9891,기타
에서/JKB,-0.9888,기타
다/NNG,-0.9043,기타
다/NNG 들/XSN,-0.9043,기타
군대/NNG,-0.9014,기타
벤치/NNG,-0.8996,기타
벤치/NNG 에/JKB,-0.8996,기타
어요/EF 저/NP,-0.8595,머뭇거림
뭐/IC 그릇/NNG,-0.853,기타
제대/NNG 하/XSV,-0.8529,기타
제대/NNG,-0.8529,기타
