feature,coef
진료/NNG,1.9477
약/NNG,1.7404
저/NP,1.4672
받/VV-R,1.3012
상담/NNG,1.2765
으면서/EC,1.2104
상담/NNG 받/VV-R,1.2067
어요/EF 그니까/MAJ,1.1911
받/VV-R 으면서/EC,1.1879
님/XSN,1.1385
꾸준히/MAG,1.1364
먹/VV,1.136
나/VX 어서/EC,1.0657
말씀/NNG,1.0606
선생/NNG 님/XSN,1.0596
선생/NNG,1.0596
요/JX 다/MAG,1.0574
어요/EF 진료/NNG,1.0472
꾸준히/MAG 먹/VV,1.0317
로/JKB 는/JX,1.0287
어요/EF 병원/NNG,1.0253
되게/MAG,0.9896
사실/MAG,0.9855
어서/EC,0.9651
진료/NNG 받/XSV,0.956
이요/JX 창문/NNG,-1.5913
어요/EF 아무튼/MAG,-1.4053
그때/NNG 는/JX,-1.3936
는/JX 힘들/VA,-1.3369
힘들/VA 었/EP,-1.2379
네/IC,-1.1761
었/EP 어요/EF,-1.1589
들/XSN 신나/VV,-1.0807
들/XSN,-1.0529
아무튼/MAG,-1.0329
그래도/MAJ,-1.0239
정말/MAG,-1.0144
는데/EC,-0.9991
었/EP 는데/EC,-0.997
었/EP,-0.9891
에서/JKB,-0.9888
다/NNG,-0.9043
다/NNG 들/XSN,-0.9043
군대/NNG,-0.9014
벤치/NNG,-0.8996
벤치/NNG 에/JKB,-0.8996
어요/EF 저/NP,-0.8595
뭐/IC 그릇/NNG,-0.853
제대/NNG 하/XSV,-0.8529
제대/NNG,-0.8529
