sent_id,tokens
E00000,회사/NNG 에서/JKB 갑자기/MAG 부서/NNG 이동/NNG 하/XSV 래/EF 아무것/NNG 도/JX 하/VV 기/ETN 싫/VA 고/EC 자꾸/MAG 가라앉/VV 어/EF
E00001,팀장/NNG 이/JKS 나/NP 의/JKG 아이디어/NNG 를/JKO 자기/NP 거/NNB 이/VCP 라고/EC 발표/NNG 하/XSV 었/EP 어요/EF 이것/NP 이/JKS 말/NNG 이/JKC 되/VV 냐고/EF
E00002,전세/NNG 만기/NNG 가/JKS 다가오/VV 는/ETM 데/NNB 돈/NNG 이/JKS 부족/NNG 하/XSA 어요/EF 앞/NNG 으로/JKB 어떻/VA-I 게/EC 되/VV ᆯ지/EC 모르/VV 어서/EC 계속/MAG 불안/NNG 하/XSA 어요/EF
E00003,회사/NNG 에서/JKB 갑자기/MAG 부서/NNG 이동/NNG 하/XSV 래/EF 그/MM 말/NNG 이/JKS 계속/MAG 마음/NNG 에/JKB 남/VV 어/EF
E00004,주식/NNG 이/JKS 반토막/NNG 나/VV 었/EP 어/EF 혼자/NNG 있/VV 으면/EC 자꾸/MAG 울/VV 게/EC 되/VV 어/EF
E00005,친구/NNG 가/JKS 돈/NNG 을/JKO 빌리/VV 어/EC 가/VX 고/EC 연락/NNG 이/JKS 없/VA 어/EF 기분/NNG 이/JKS 계속/MAG 가라앉/VV 어/EF
E00006,퇴근/NNG 하/XSV 고/EC 집/NNG 에/JKB 오/VV 면/EC 아무것/NNG 도/JX 못/MAG 하/VV 겠/EP 어요/EF 나/NP 를/JKO 그렇/VA-I 게/EC 밖에/JX 안/MAG 보/VV 었/EP 다는/ETM 것/NNB 이/JKS 서운/XR 하/XSA 어요/EF
E00007,모임/NNG 에서/JKB 나/NP 만/JX 빼/VV 고/EC 약속/NNG 을/JKO 잡/VV-R 었/EP 더라/EF 며칠/NNG 째/XSN 마음/NNG 이/JKS 안/MAG 좋/VA 어/EF
E00008,취업/NNG 준비/NNG 랑/JC 학교/NNG 수업/NNG 을/JKO 같이/MAG 하/VV 니까/EC 시간/NNG 이/JKS 없/VA 어/EF 심장/NNG 이/JKS 계속/MAG 두근거리/VV 어/EF
E00009,동기/NNG 가/JKS 먼저/MAG 승진/NNG 하/XSV 었/EP 어/EF 왜/MAG 나/NP 한테/JKB 만/JX 이러/VV 는/ETM 거/NNB 이/VCP ᆫ지/EC 억울/XR 하/XSA 어/EF
E00010,전세/NNG 만기/NNG 가/JKS 다가오/VV 는/ETM 데/NNB 돈/NNG 이/JKS 부족/NNG 하/XSA 어/EF 혼자/NNG 있/VV 으면/EC 자꾸/MAG 울/VV 게/EC 되/VV 어/EF
E00011,팀장/NNG 이/JKS 나/NP 의/JKG 아이디어/NNG 를/JKO 자기/NP 거/NNB 이/VCP 라고/EC 발표/NNG 하/XSV 었/EP 어/EF 생각/NNG 하/XSV ᆯ수록/EC 열/NNG 받/VV-R 어/EF
E00012,이번/NNG 달/NNG 도/JX 야근/NNG 수당/NNG 이/JKS 안/MAG 들어오/VV 었/EP 어/EF 그/MM 자리/NNG 에서/JKB 아무/MM 말/NNG 도/JX 못/MAG 하/VV 었/EP 어/EF
E00013,건강/NNG 검진/NNG 결과/NNG 가/JKS 안/MAG 좋/VA 게/EC 나오/VV 었/EP 어/EF 그냥/MAG 좀/MAG 지치/VV 어/EF
E00014,애인/NNG 이/JKS 나/NP 의/JKG 생일/NNG 을/JKO 잊/VV 었/EP 어/EF 며칠/NNG 째/XSN 마음/NNG 이/JKS 안/MAG 좋/VA 어/EF
E00015,아빠/NNG 랑/JKB 또/MAG 말다툼/NNG 하/XSV 었/EP 어/EF 속/NNG 이/JKS 좀/MAG 시끄럽/VA-I 어/EF
E00016,야근/NNG 이/JKS 삼/NR 주/NNB 째/XSN 이어지/VV 고/EC 있/VX 어/EF 혼자/NNG 있/VV 으면/EC 자꾸/MAG 울/VV 게/EC 되/VV 어/EF
E00017,시험/NNG 성적/NNG 이/JKS 생각/NNG 보다/JKB 안/MAG 나오/VV 었/EP 어/EF 뭐/NP 이/VCP 라고/EC 말/NNG 하/XSV 어야/EC 하/VX ᆯ지/EC 모르/VV 겠/EP 어/EF
E00018,엄마/NNG 가/JKS 병원/NNG 에/JKB 입원/NNG 하/XSV 시/EP 었/EP 어/EF 믿/VV-R 었/EP 던/ETM 사람/NNG 한테/JKB 이런/MM 일/NNG 당하/VV 니까/EC 더/MAG 아프/VA 어/EF
E00019,취업/NNG 준비/NNG 랑/JC 학교/NNG 수업/NNG 을/JKO 같이/MAG 하/VV 니까/EC 시간/NNG 이/JKS 없/VA 어/EF 괜히/MAG 예민/XR 하/XSA 어/EC 지/VX 는/ETM 것/NNB 같/VA 어/EF
E00020,상사/NNG 한테/JKB 보고서/NNG 때문/NNB 에/JKB 한/MM 소리/NNG 듣/VV-I 었/EP 어/EF 아무렇/VA-I 지/EC 않/VX 은/ETM 척/NNB 하/XSV 는/ETM 것/NNB 이/JKS 제일/MAG 힘들/VA 어/EF
E00021,상사/NNG 한테/JKB 보고서/NNG 때문/NNB 에/JKB 한/MM 소리/NNG 듣/VV-I 었/EP 어/EF 잠/NNG 도/JX 잘/MAG 안/MAG 오/VV 고/EC 계속/MAG 뒤척이/VV 어/EF
E00022,명절/NNG 에/JKB 친척/NNG 들/XSN 이/JKS 취업/NNG 얘기/NNG 만/JX 물어보/VV 었/EP 어요/EF 속/NNG 이/JKS 좀/MAG 시끄럽/VA-I 어/EF
E00023,주식/NNG 이/JKS 반토막/NNG 나/VV 었/EP 어/EF 속/NNG 이/JKS 좀/MAG 시끄럽/VA-I 어/EF
E00024,같/VA 은/ETM 조/NNG 애/NNG 들/XSN 이/JKS 아무것/NNG 도/JX 안/MAG 하/VV 어/EF 걱정/NNG 되/XSV 어서/EC 밥/NNG 도/JX 잘/MAG 안/MAG 넘어가/VV 어/EF
E00025,상사/NNG 한테/JKB 보고서/NNG 때문/NNB 에/JKB 한/MM 소리/NNG 듣/VV-I 었/EP 어/EF 며칠/NNG 째/XSN 마음/NNG 이/JKS 안/MAG 좋/VA 어/EF
E00026,소개팅/NNG 에서/JKB 만나/VV ᆫ/ETM 사람/NNG 이/JKS 또/MAG 연락/NNG 오/VV 었/EP 어/EF 너무/MAG 좋/VA 어서/EC 아직/MAG 도/JX 실감/NNG 이/JKS 안/MAG 나/VV 어/EF
E00027,다이어트/NNG 목표/NNG 를/JKO 드디어/MAG 달성/NNG 하/XSV 었/EP 어/EF 누구/NP 한테/JKB 이/VCP 라도/EC 자랑/NNG 하/XSV 고/EC 싶/VX 어/EF
E00028,모임/NNG 에서/JKB 나/NP 만/JX 빼/VV 고/EC 약속/NNG 을/JKO 잡/VV-R 었/EP 더라/EF 아무렇/VA-I 지/EC 않/VX 은/ETM 척/NNB 하/XSV 는/ETM 것/NNB 이/JKS 제일/MAG 힘들/VA 어/EF
E00029,아이/NNG 가/JKS 학교/NNG 에서/JKB 상/NNG 을/JKO 받/VV-R 어/EC 오/VX 었/EP 어/EF 이런/MM 나/NP 가/JKS 좀/MAG 낯설/VA 어/EF
E00030,동기/NNG 가/JKS 먼저/MAG 승진/NNG 하/XSV 었/EP 어/EF 짜증/NNG 이/JKS 나/VV 어서/EC 아무것/NNG 도/JX 손/NNG 에/JKB 안/MAG 잡히/VV 어/EF
E00031,출근길/NNG 에/JKB 지하철/NNG 에서/JKB 쓰러지/VV ᆯ/ETM 뻔/NNB 하/XSA 었/EP 어/EF 그냥/MAG 하루/NNG 종일/NNG 눈물/NNG 만/JX 나/VV 어/EF
E00032,허리/NNG 가/JKS 아프/VA 어서/EC 오래/MAG 못/MAG 앉/VV 어/EC 있/VX 어/EF 어떻/VA-I 게/EC 반응/NNG 하/XSV 어야/EC 하/VX ᆯ지/EC 모르/VV 겠/EP 더라/EF
E00033,전세/NNG 만기/NNG 가/JKS 다가오/VV 는/ETM 데/NNB 돈/NNG 이/JKS 부족/NNG 하/XSA 어/EF 너무/MAG 갑작스럽/VA-I 어서/EC 아직/MAG 도/JX 얼떨떨/XR 하/XSA 어/EF
E00034,다이어트/NNG 목표/NNG 를/JKO 드디어/MAG 달성/NNG 하/XSV 었/EP 어/EF 그동안/NNG 고생/NNG 하/XSV ᆫ/ETM 보람/NNG 이/JKS 있/VV 네/EF
E00035,엄마/NNG 가/JKS 병원/NNG 에/JKB 입원/NNG 하/XSV 시/EP 었/EP 어/EF 앞/NNG 으로/JKB 어떻/VA-I 게/EC 되/VV ᆯ지/EC 모르/VV 어서/EC 계속/MAG 불안/NNG 하/XSA 어/EF
E00036,교수/NNG 님/XSN 이/JKS 나/NP 의/JKG 발표/NNG 를/JKO 칭찬/NNG 하/XSV 어/EC 주/VX 시/EP 었/EP 어/EF 누구/NP 한테/JKB 이/VCP 라도/EC 자랑/NNG 하/XSV 고/EC 싶/VX 어/EF
E00037,취업/NNG 준비/NNG 랑/JC 학교/NNG 수업/NNG 을/JKO 같이/MAG 하/VV 니까/EC 시간/NNG 이/JKS 없/VA 어/EF 심장/NNG 이/JKS 계속/MAG 두근거리/VV 어/EF
E00038,모임/NNG 에서/JKB 나/NP 만/JX 빼/VV 고/EC 약속/NNG 을/JKO 잡/VV-R 었/EP 더라/EF 뭐/NP ᆯ/JKO 하/VV 어도/EC 마음/NNG 이/JKS 텅/MAG 비/VV ᆫ/ETM 것/NNB 같/VA 어/EF
E00039,헤어지/VV ᆫ/ETM 지/NNB 한/MM 달/NNB 되/VV 었/EP 는데/EC 아직/MAG 생각나/VV 어/EF 밤/NNG 에/JKB 잠/NNG 도/JX 안/MAG 오/VV 고/EC 계속/MAG 그/MM 생각/NNG 만/JX 나/VV 어/EF
E00040,친하/VA ᆫ/ETM 친구/NNG 가/JKS 나/NP 의/JKG 뒷담화/NNG 를/JKO 하/VV 었/EP 대/EF 하루/NNG 종일/NNG 그/MM 생각/NNG 만/JX 나/VV 어/EF
E00041,오늘/MAG 프러포즈/NNG 받/VV-R 었/EP 어/EF 진짜/MAG 오랜만/NNG 에/JKB 기분/NNG 이/JKS 날아가/VV ᆯ/ETM 것/NNB 같/VA 어/EF
E00042,친구/NNG 가/JKS 돈/NNG 을/JKO 빌리/VV 어/EC 가/VX 고/EC 연락/NNG 이/JKS 없/VA 어/EF 이런/MM 나/NP 가/JKS 좀/MAG 낯설/VA 어/EF
E00043,부모/NNG 님/XSN 이/JKS 자꾸/MAG 결혼/NNG 얘기/NNG 를/JKO 하/VV 시/EP 어/EF 기분/NNG 이/JKS 계속/MAG 가라앉/VV 어/EF
E00044,같/VA 은/ETM 조/NNG 애/NNG 들/XSN 이/JKS 아무것/NNG 도/JX 안/MAG 하/VV 어/EF 이런/MM 나/NP 가/JKS 좀/MAG 낯설/VA 어/EF
E00045,여자/NNG 친구/NNG 가/JKS 갑자기/MAG 연락/NNG 을/JKO 끊/VV 었/EP 어/EF 잠/NNG 도/JX 잘/MAG 안/MAG 오/VV 고/EC 계속/MAG 뒤척이/VV 어/EF
E00046,친하/VA ᆫ/ETM 친구/NNG 가/JKS 나/NP 의/JKG 뒷담화/NNG 를/JKO 하/VV 었/EP 대/EF 이런/MM 나/NP 가/JKS 좀/MAG 낯설/VA 어/EF
E00047,동기/NNG 가/JKS 먼저/MAG 승진/NNG 하/XSV 었/EP 어/EF 앞/NNG 으로/JKB 어떻/VA-I 게/EC 되/VV ᆯ지/EC 모르/VV 어서/EC 계속/MAG 불안/NNG 하/XSA 어/EF
E00048,밤새/NNG 공부/NNG 하/XSV 었/EP 는데/EC 문제/NNG 가/JKS 다/MAG 처음/NNG 보/VV 는/ETM 거/NNB 이/VCP 었/EP 어/EF 요즘/NNG 왜/MAG 이렇/VA-I 게/EC 다/MAG 허무/NNG 하/XSA ᆫ지/EC 모르/VV 겠/EP 어/EF
E00049,상사/NNG 한테/JKB 보고서/NNG 때문/NNB 에/JKB 한/MM 소리/NNG 듣/VV-I 었/EP 어/EF 잘못/MAG 되/XSV ᆯ까/EC 보/VX 어/EC 밤/NNG 에/JKB 잠/NNG 이/JKS 안/MAG 오/VV 어/EF
E00050,여자/NNG 친구/NNG 가/JKS 갑자기/MAG 연락/NNG 을/JKO 끊/VV 었/EP 어/EF 그/MM 말/NNG 이/JKS 계속/MAG 마음/NNG 에/JKB 남/VV 어/EF
E00051,모임/NNG 에서/JKB 나/NP 만/JX 빼/VV 고/EC 약속/NNG 을/JKO 잡/VV-R 었/EP 더라/EF 나/NP 를/JKO 그렇/VA-I 게/EC 밖에/JX 안/MAG 보/VV 었/EP 다는/ETM 것/NNB 이/JKS 서운/XR 하/XSA 어/EF
E00052,카드/NNG 값/NNG 이/JKS 월급/NNG 보다/JKB 많이/MAG 나오/VV 었/EP 어요/EF 심장/NNG 이/JKS 계속/MAG 두근거리/VV 어/EF
E00053,헤어지/VV ᆫ/ETM 지/NNB 한/MM 달/NNB 되/VV 었/EP 는데/EC 아직/MAG 생각나/VV 어/EF 요즘/NNG 왜/MAG 이렇/VA-I 게/EC 다/MAG 허무/NNG 하/XSA ᆫ지/EC 모르/VV 겠/EP 어/EF
E00054,요즘/NNG 잠/NNG 을/JKO 통/MAG 못/MAG 자/VV 어/EF 뭐/NP ᆯ/JKO 하/VV 어도/EC 마음/NNG 이/JKS 텅/MAG 비/VV ᆫ/ETM 것/NNB 같/VA 어/EF
E00055,프로젝트/NNG 마감/NNG 이/JKS 코앞/NNG 이/VCP ᆫ데/EC 아무것/NNG 도/JX 안/MAG 되/VV 었/EP 어/EF 괜히/MAG 예민/XR 하/XSA 어/EC 지/VX 는/ETM 것/NNB 같/VA 어/EF
E00056,두통/NNG 이/JKS 며칠/NNG 째/XSN 안/MAG 가/VV 어/EF 자꾸/MAG 최악/NNG 의/JKG 상황/NNG 만/JX 상상/NNG 하/XSV 게/EC 되/VV 어/EF
E00057,동기/NNG 가/JKS 먼저/MAG 승진/NNG 하/XSV 었/EP 어/EF 그/MM 말/NNG 이/JKS 계속/MAG 마음/NNG 에/JKB 남/VV 어/EF
E00058,전세/NNG 만기/NNG 가/JKS 다가오/VV 는/ETM 데/NNB 돈/NNG 이/JKS 부족/NNG 하/XSA 어/EF 하루/NNG 종일/NNG 그/MM 생각/NNG 만/JX 나/VV 어/EF
E00059,모임/NNG 에서/JKB 나/NP 만/JX 빼/VV 고/EC 약속/NNG 을/JKO 잡/VV-R 었/EP 더라/EF 아무것/NNG 도/JX 손/NNG 에/JKB 안/MAG 잡히/VV 어/EF
E00060,친하/VA ᆫ/ETM 친구/NNG 가/JKS 나/NP 의/JKG 뒷담화/NNG 를/JKO 하/VV 었/EP 대/EF 생각/NNG 하/XSV ᆯ수록/EC 열/NNG 받/VV-R 어/EF
E00061,두통/NNG 이/JKS 며칠/NNG 째/XSN 안/MAG 가/VV 어/EF 이런/MM 나/NP 가/JKS 좀/MAG 낯설/VA 어/EF
E00062,병원/NNG 에서/JKB 재/XPN 검사/NNG 하/XSV 래/EF 속/NNG 이/JKS 좀/MAG 시끄럽/VA-I 어/EF
E00063,같/VA 은/ETM 조/NNG 애/NNG 들/XSN 이/JKS 아무것/NNG 도/JX 안/MAG 하/VV 어/EF 그냥/MAG 좀/MAG 지치/VV 어/EF
