sent_id,situation,emotion,age_group,sex,text
E00000,직장,슬픔,청년,M,회사에서 갑자기 부서 이동하래. 아무것도 하기 싫고 자꾸 가라앉아.
E00001,직장,분노,노년,M,팀장이 내 아이디어를 자기 거라고 발표했어요. 이게 말이 되냐고.
E00002,금전,불안,노년,F,전세 만기가 다가오는데 돈이 부족해요. 앞으로 어떻게 될지 몰라서 계속 불안해요.
E00003,직장,상처,청년,F,회사에서 갑자기 부서 이동하래. 그 말이 계속 마음에 남아.
E00004,금전,슬픔,청년,F,주식이 반토막 났어. 혼자 있으면 자꾸 울게 돼.
E00005,대인관계,분노,노년,F,친구가 돈을 빌려 가고 연락이 없어. 기분이 계속 가라앉아.
E00006,직장,상처,노년,M,퇴근하고 집에 오면 아무것도 못 하겠어요. 나를 그렇게밖에 안 봤다는 게 서운해요.
E00007,대인관계,불안,중년,F,모임에서 나만 빼고 약속을 잡았더라. 며칠째 마음이 안 좋아.
E00008,학업,불안,중년,F,취업 준비랑 학교 수업을 같이 하니까 시간이 없어. 심장이 계속 두근거려.
E00009,직장,분노,청년,M,동기가 먼저 승진했어. 왜 나한테만 이러는 건지 억울해.
E00010,금전,슬픔,청년,M,전세 만기가 다가오는데 돈이 부족해. 혼자 있으면 자꾸 울게 돼.
E00011,직장,분노,청년,F,팀장이 내 아이디어를 자기 거라고 발표했어. 생각할수록 열받아.
E00012,직장,당황,중년,F,이번 달도 야근 수당이 안 들어왔어. 그 자리에서 아무 말도 못 했어.
E00013,건강,불안,청년,M,건강검진 결과가 안 좋게 나왔어. 그냥 좀 지쳐.
E00014,연애,분노,청년,M,애인이 내 생일을 잊었어. 며칠째 마음이 안 좋아.
E00015,가족,상처,중년,M,아빠랑 또 말다툼했어. 속이 좀 시끄러워.
E00016,직장,슬픔,청년,M,야근이 삼 주째 이어지고 있어. 혼자 있으면 자꾸 울게 돼.
E00017,학업,슬픔,청년,F,시험 성적이 생각보다 안 나왔어. 뭐라고 말해야 할지 모르겠어.
E00018,가족,상처,중년,M,엄마가 병원에 입원하셨어. 믿었던 사람한테 이런 일 당하니까 더 아파.
